ProductName,Mobilize Snow Conversion Tool 7.9.154+master[423ced6]-1170.632858
CoreVersion,7.9.154
AppVersion,Not Provided
SqlFileCount,1
SqlSizeMB,0
OSVersion,Unix 5.4.0.1074
SnowScript,True
WorkloadName,
PartitionKey,b414afdb-eccd-4ca8-a4be-b9922ead01f0
LicenseData,dedfb933-e81e-468d-bc78-53fe4548273e
SystemRAM,Data not provided
SystemCPU,Data not provided
RunAsAdmin,Data not provided
CreateSession,2022/07/19 21:02:35 +00:00
StartConversion,2022/07/19 21:02:35 +00:00
SQLLinesCount,48
UnrecognizedElements,0
UnrecognizedElementsLOC,0
TotalFiles,1
TotalFilesNotGenerated,0
TotalLinesOfCode,48
ConversionSpeed,1
ElapsedTime,00:00:45
TotalSize,1979
EndConversion,2022/07/19 21:03:14 +00:00
TimeParsing,1.7288406
TimeFillSymbolStep1,35.8317951
TimeFillSymbolStep2,0.1026732
TimeResolveDependency,0.0123266
TimePreprocessing,0.0778463
TimeTransformation,0.5127357
TotalErrors,2
TotalWarnings,1
TotalParsingErrors,0
TotalConversionErrors,0
TotalCharacterConversionRate,99.27
TotalLoCConversionRate,95.83
SqlIdentifiedObjects,4
SqlIdentifiedQueries,7
ObjectsSuccessfullyConverted,2
QueriesSuccessfullyConverted,7
TableObjectConversionRate,100
TableCharacterConversionRate,100
TableLoCConversionRate,100
TableFullyConvertedOccurrences,1
TableTotalOccurrences,1
TableTotalParsingErrors,0
TableTotalConversionErrors,0
TableTotalWarnings,1
TableTotalCharacters,179
TableTotalLinesOfCode,9
ViewObjectConversionRate,100
ViewCharacterConversionRate,100
ViewLoCConversionRate,100
ViewFullyConvertedOccurrences,1
ViewTotalOccurrences,1
ViewTotalParsingErrors,0
ViewTotalConversionErrors,0
ViewTotalWarnings,0
ViewTotalCharacters,131
ViewTotalLinesOfCode,4
SynonymObjectConversionRate,0
SynonymCharacterConversionRate,0
SynonymLoCConversionRate,0
SynonymFullyConvertedOccurrences,0
SynonymTotalOccurrences,0
SynonymTotalParsingErrors,0
SynonymTotalConversionErrors,0
SynonymTotalWarnings,0
SynonymTotalCharacters,0
SynonymTotalLinesOfCode,0
ProcedureObjectConversionRate,0
ProcedureCharacterConversionRate,97.9
ProcedureLoCConversionRate,93.1
ProcedureFullyConvertedOccurrences,0
ProcedureTotalOccurrences,2
ProcedureTotalParsingErrors,0
ProcedureTotalConversionErrors,0
ProcedureTotalWarnings,2
ProcedureTotalCharacters,571
ProcedureTotalLinesOfCode,27
FunctionObjectConversionRate,0
FunctionCharacterConversionRate,0
FunctionLoCConversionRate,0
FunctionFullyConvertedOccurrences,0
FunctionTotalOccurrences,0
FunctionTotalParsingErrors,0
FunctionTotalConversionErrors,0
FunctionTotalWarnings,0
FunctionTotalCharacters,0
FunctionTotalLinesOfCode,0
CLanguageFunctions,0
FunctionCallsInsideQueries,0
FunctionCallsOutsideQueries,0
FunctionsInsidePackages,0
FunctionsOutsidePackages,0
FunctionsTransformedToJavascriptFunctions,0
FunctionsTransformedToProcedures,0
FunctionsTransformedToSQLFunctions,0
JavaLanguageFunctions,0
SqlLanguageFunctions,0
WrappedFunctions,0
SequenceObjectConversionRate,0
SequenceCharacterConversionRate,0
SequenceLoCConversionRate,0
SequenceFullyConvertedOccurrences,0
SequenceTotalOccurrences,0
SequenceTotalParsingErrors,0
SequenceTotalConversionErrors,0
SequenceTotalWarnings,0
SequenceTotalCharacters,0
SequenceTotalLinesOfCode,0
PackageObjectConversionRate,0
PackageCharacterConversionRate,0
PackageLoCConversionRate,0
PackageFullyConvertedOccurrences,0
PackageTotalOccurrences,0
PackageTotalParsingErrors,0
PackageTotalConversionErrors,0
PackageTotalWarnings,0
PackageTotalCharacters,0
PackageTotalLinesOfCode,0
PBodyObjectConversionRate,0
PBodyCharacterConversionRate,0
PBodyLoCConversionRate,0
PBodyFullyConvertedOccurrences,0
PBodyTotalOccurrences,0
PBodyTotalParsingErrors,0
PBodyTotalConversionErrors,0
PBodyTotalWarnings,0
PBodyTotalCharacters,0
PBodyTotalLinesOfCode,0
DbLinkObjectConversionRate,0
DbLinkCharacterConversionRate,0
DbLinkLoCConversionRate,0
DbLinkFullyConvertedOccurrences,0
DbLinkTotalOccurrences,0
DbLinkTotalParsingErrors,0
DbLinkTotalConversionErrors,0
DbLinkTotalWarnings,0
DbLinkTotalCharacters,0
DbLinkTotalLinesOfCode,0
IndexObjectConversionRate,0
IndexCharacterConversionRate,0
IndexLoCConversionRate,0
IndexFullyConvertedOccurrences,0
IndexTotalOccurrences,0
IndexTotalParsingErrors,0
IndexTotalConversionErrors,0
IndexTotalWarnings,0
IndexTotalCharacters,0
IndexTotalLinesOfCode,0
TypeObjectConversionRate,0
TypeCharacterConversionRate,0
TypeLoCConversionRate,0
TypeFullyConvertedOccurrences,0
TypeTotalOccurrences,0
TypeTotalParsingErrors,0
TypeTotalConversionErrors,0
TypeTotalWarnings,0
TypeTotalCharacters,0
TypeTotalLinesOfCode,0
ProcedureInsidePackageObjectConversionRate,0
ProcedureInsidePackageCharacterConversionRate,0
ProcedureInsidePackageLoCConversionRate,0
ProcedureInsidePackageFullyConvertedOccurrences,0
ProcedureInsidePackageTotalOccurrences,0
ProcedureInsidePackageTotalParsingErrors,0
ProcedureInsidePackageTotalConversionErrors,0
ProcedureInsidePackageTotalWarnings,0
ProcedureInsidePackageTotalCharacters,0
ProcedureInsidePackageTotalLinesOfCode,0
FunctionInsidePackageObjectConversionRate,0
FunctionInsidePackageCharacterConversionRate,0
FunctionInsidePackageLoCConversionRate,0
FunctionInsidePackageFullyConvertedOccurrences,0
FunctionInsidePackageTotalOccurrences,0
FunctionInsidePackageTotalParsingErrors,0
FunctionInsidePackageTotalConversionErrors,0
FunctionInsidePackageTotalWarnings,0
FunctionInsidePackageTotalCharacters,0
FunctionInsidePackageTotalLinesOfCode,0
TotalProcedure,2
TotalFunction,0
CloseSession,2022/07/19 21:03:14 +00:00
